Datum,Produkt,Kategorie,Preis,Menge,Region
2025-02-19,Kaffee,Lebensmittel,8.0,14,West
2025-08-13,Jeans,Bekleidung,60.0,12,West
2025-02-14,Jacke,Bekleidung,120.0,3,West
2025-12-16,Tablet,Elektronik,400.0,8,West
2025-11-23,Smartwatch,Elektronik,200.0,12,Süd
2025-05-23,Brot,Lebensmittel,3.0,1,West
2025-10-09,Stuhl,Möbel,150.0,14,Ost
2025-04-12,Smartphone,Elektronik,800.0,19,West
2025-12-29,Tastatur,Elektronik,45.0,3,Süd
2025-09-30,Schraubenzieher,Werkzeug,15.0,12,Ost
2025-03-23,Maus,Elektronik,25.0,17,Süd
2025-07-16,Kaffee,Lebensmittel,8.0,15,Nord
2025-01-19,Schraubenzieher,Werkzeug,15.0,1,Nord
2025-08-30,T-Shirt,Bekleidung,20.0,18,Nord
2025-03-19,Sneaker,Bekleidung,100.0,1,Ost
2025-07-28,Stuhl,Möbel,150.0,10,Süd
2025-01-16,Smartwatch,Elektronik,200.0,3,West
2025-07-02,Hammer,Werkzeug,20.0,8,West
2025-12-07,Tastatur,Elektronik,45.0,10,West
2025-06-25,Monitor,Elektronik,250.0,8,Nord
2025-01-12,Tastatur,Elektronik,45.0,1,West
2025-04-21,Tastatur,Elektronik,45.0,8,Ost
2025-10-16,Lampe,Möbel,80.0,17,West
2025-03-25,Kaffee,Lebensmittel,8.0,13,West
2025-01-17,Kopfhörer,Elektronik,120.0,4,Ost
2025-04-28,Schraubenzieher,Werkzeug,15.0,9,West
2025-09-07,Bohrmaschine,Werkzeug,150.0,19,Süd
2025-03-13,Maus,Elektronik,25.0,5,Nord
2025-03-02,Säge,Werkzeug,70.0,8,Nord
2025-11-01,Bohrmaschine,Werkzeug,150.0,2,Ost
2025-05-30,Säge,Werkzeug,70.0,14,West
2025-11-24,Sofa,Möbel,900.0,16,Ost
2025-06-24,Kopfhörer,Elektronik,120.0,1,Ost
2025-12-22,Säge,Werkzeug,70.0,7,Süd
2025-11-17,Tablet,Elektronik,400.0,5,Nord
2025-09-13,Bohrmaschine,Werkzeug,150.0,9,Süd
2025-08-08,Säge,Werkzeug,70.0,10,Nord
2025-09-28,Schraubenzieher,Werkzeug,15.0,8,West
2025-02-08,Kaffee,Lebensmittel,8.0,2,Nord
2025-11-05,Stuhl,Möbel,150.0,2,Nord
2025-03-03,Bohrmaschine,Werkzeug,150.0,4,Süd
2025-04-26,Kaffee,Lebensmittel,8.0,6,Ost
2025-01-29,Tastatur,Elektronik,45.0,12,Süd
2025-01-19,Regal,Möbel,200.0,18,Nord
2025-01-21,Milch,Lebensmittel,1.5,1,Süd
2025-09-02,Apfel,Lebensmittel,2.0,6,Ost
2025-02-28,Regal,Möbel,200.0,8,Nord
2025-04-02,Regal,Möbel,200.0,5,Süd
2025-02-06,Sneaker,Bekleidung,100.0,11,West
2025-11-13,Smartwatch,Elektronik,200.0,3,Süd
2025-02-09,Monitor,Elektronik,250.0,9,Ost
2025-02-18,Schraubenzieher,Werkzeug,15.0,9,Nord
2025-10-25,Apfel,Lebensmittel,2.0,14,West
2025-08-03,Sneaker,Bekleidung,100.0,19,West
2025-10-04,Tablet,Elektronik,400.0,15,Nord
2025-10-01,Milch,Lebensmittel,1.5,9,Ost
2025-01-13,Stuhl,Möbel,150.0,18,Süd
2025-10-29,Tablet,Elektronik,400.0,8,Ost
2025-08-15,Tisch,Möbel,300.0,9,West
2025-04-26,Hammer,Werkzeug,20.0,15,West
2025-07-05,Jacke,Bekleidung,120.0,18,Nord
2025-05-23,Maus,Elektronik,25.0,19,West
2025-12-23,Jacke,Bekleidung,120.0,4,Nord
2025-03-11,Smartphone,Elektronik,800.0,4,Ost
2025-11-22,Monitor,Elektronik,250.0,6,Ost
2025-10-04,Lampe,Möbel,80.0,5,Süd
2025-08-14,Bohrmaschine,Werkzeug,150.0,3,Süd
2025-03-25,Jeans,Bekleidung,60.0,20,Süd
2025-08-16,T-Shirt,Bekleidung,20.0,1,West
2025-12-13,Smartwatch,Elektronik,200.0,5,West
2025-07-04,Apfel,Lebensmittel,2.0,2,West
2025-06-05,Stuhl,Möbel,150.0,12,Süd
2025-06-19,Kaffee,Lebensmittel,8.0,12,Nord
2025-12-13,Kopfhörer,Elektronik,120.0,8,West
2025-10-11,Smartphone,Elektronik,800.0,5,West
2025-06-10,Schrank,Möbel,500.0,18,Süd
2025-04-18,Regal,Möbel,200.0,9,Süd
2025-04-29,Tablet,Elektronik,400.0,2,Ost
2025-06-26,Stuhl,Möbel,150.0,17,Ost
2025-09-20,Bohrmaschine,Werkzeug,150.0,12,Süd
2025-05-27,Hammer,Werkzeug,20.0,18,Süd
2025-06-14,Tablet,Elektronik,400.0,5,West
2025-11-08,Regal,Möbel,200.0,2,Nord
2025-06-17,Hammer,Werkzeug,20.0,7,Nord
2025-06-14,Sofa,Möbel,900.0,19,Ost
2025-06-01,Smartphone,Elektronik,800.0,13,Ost
2025-11-26,Stuhl,Möbel,150.0,10,Süd
2025-04-11,Bohrmaschine,Werkzeug,150.0,11,Ost
2025-04-27,Lampe,Möbel,80.0,10,Ost
2025-12-26,Tastatur,Elektronik,45.0,7,Nord
2025-06-13,Smartphone,Elektronik,800.0,11,West
2025-09-27,Tastatur,Elektronik,45.0,3,Süd
2025-04-02,T-Shirt,Bekleidung,20.0,2,Nord
2025-03-30,Jeans,Bekleidung,60.0,13,Nord
2025-06-05,Sneaker,Bekleidung,100.0,18,West
2025-09-29,Schraubenzieher,Werkzeug,15.0,19,Nord
2025-02-23,Bohrmaschine,Werkzeug,150.0,19,West
2025-07-01,Stuhl,Möbel,150.0,12,Ost
2025-04-11,Smartwatch,Elektronik,200.0,5,Ost
2025-07-12,Säge,Werkzeug,70.0,11,Nord
2025-12-07,Regal,Möbel,200.0,13,Nord
2025-04-10,Milch,Lebensmittel,1.5,8,Ost
2025-02-16,Kopfhörer,Elektronik,120.0,6,Ost
2025-11-17,Jacke,Bekleidung,120.0,18,Süd
2025-11-15,Jeans,Bekleidung,60.0,7,West
2025-06-16,Sofa,Möbel,900.0,19,West
2025-02-27,Milch,Lebensmittel,1.5,18,Süd
2025-03-15,Stuhl,Möbel,150.0,18,West
2025-07-18,Schraubenzieher,Werkzeug,15.0,11,Süd
2025-12-30,Hammer,Werkzeug,20.0,5,Ost
2025-08-22,Schrank,Möbel,500.0,19,Süd
2025-04-22,Tablet,Elektronik,400.0,14,Ost
2025-05-11,Schrank,Möbel,500.0,4,Nord
2025-02-21,Brot,Lebensmittel,3.0,13,Ost
2025-07-23,Monitor,Elektronik,250.0,2,West
2025-03-03,Kopfhörer,Elektronik,120.0,20,Ost
2025-02-15,Tablet,Elektronik,400.0,14,Ost
2025-02-16,Bohrmaschine,Werkzeug,150.0,13,Ost
2025-03-06,Tablet,Elektronik,400.0,17,Süd
2025-10-23,Schraubenzieher,Werkzeug,15.0,4,Ost
2025-12-25,Sneaker,Bekleidung,100.0,10,West
2025-10-01,Laptop,Elektronik,1200.0,11,Süd
2025-03-05,Säge,Werkzeug,70.0,7,Nord
2025-06-04,Säge,Werkzeug,70.0,13,Süd
2025-10-12,Schraubenzieher,Werkzeug,15.0,8,Nord
2025-01-04,Tablet,Elektronik,400.0,2,Ost
2025-01-19,Tablet,Elektronik,400.0,17,West
2025-11-23,Tastatur,Elektronik,45.0,3,Nord
2025-01-02,Säge,Werkzeug,70.0,2,Nord
2025-11-07,Bohrmaschine,Werkzeug,150.0,10,Ost
2025-05-08,Laptop,Elektronik,1200.0,3,Ost
2025-11-15,Säge,Werkzeug,70.0,3,Süd
2025-01-20,Maus,Elektronik,25.0,6,West
2025-04-24,Sofa,Möbel,900.0,14,West
2025-11-28,T-Shirt,Bekleidung,20.0,2,Nord
2025-01-30,Milch,Lebensmittel,1.5,1,Nord
2025-04-04,Jacke,Bekleidung,120.0,20,Ost
2025-10-19,Laptop,Elektronik,1200.0,3,Nord
2025-03-28,Kaffee,Lebensmittel,8.0,10,Süd
2025-09-25,Monitor,Elektronik,250.0,15,Ost
2025-05-14,Milch,Lebensmittel,1.5,9,Ost
2025-08-12,Laptop,Elektronik,1200.0,18,Süd
2025-07-08,Maus,Elektronik,25.0,6,Süd
2025-01-30,Maus,Elektronik,25.0,11,Ost
2025-09-13,Smartwatch,Elektronik,200.0,15,West
2025-12-26,Smartwatch,Elektronik,200.0,19,Süd
2025-03-25,Smartphone,Elektronik,800.0,8,Ost
2025-11-21,Regal,Möbel,200.0,14,Nord
2025-04-01,Regal,Möbel,200.0,19,Nord
2025-09-27,Smartwatch,Elektronik,200.0,11,Ost
2025-06-03,Maus,Elektronik,25.0,5,Ost
2025-07-04,Kopfhörer,Elektronik,120.0,18,Nord
2025-10-29,Maus,Elektronik,25.0,14,Nord
2025-04-05,Tastatur,Elektronik,45.0,18,Ost
2025-12-30,Kaffee,Lebensmittel,8.0,8,Ost
2025-10-05,Brot,Lebensmittel,3.0,6,West
2025-05-08,Schraubenzieher,Werkzeug,15.0,10,Ost
2025-09-25,Tablet,Elektronik,400.0,9,Süd
2025-03-22,Lampe,Möbel,80.0,13,Ost
2025-05-28,Säge,Werkzeug,70.0,10,Nord
2025-07-06,Laptop,Elektronik,1200.0,20,Süd
2025-06-27,Apfel,Lebensmittel,2.0,7,West
2025-06-12,Tablet,Elektronik,400.0,4,West
2025-09-04,Tisch,Möbel,300.0,5,Ost
2025-12-23,Apfel,Lebensmittel,2.0,10,West
2025-06-28,Jeans,Bekleidung,60.0,13,West
2025-11-15,Tisch,Möbel,300.0,12,Nord
2025-09-02,Regal,Möbel,200.0,19,Nord
2025-04-24,Jacke,Bekleidung,120.0,4,West
2025-09-24,Sneaker,Bekleidung,100.0,10,Nord
2025-05-30,Kopfhörer,Elektronik,120.0,16,Süd
2025-06-09,Tastatur,Elektronik,45.0,4,Nord
2025-03-25,Apfel,Lebensmittel,2.0,3,Süd
2025-04-16,Sneaker,Bekleidung,100.0,14,Süd
2025-05-10,Stuhl,Möbel,150.0,3,Ost
2025-09-14,Kaffee,Lebensmittel,8.0,3,Nord
2025-08-25,Tisch,Möbel,300.0,18,Nord
2025-12-21,Laptop,Elektronik,1200.0,4,West
2025-09-10,Kaffee,Lebensmittel,8.0,17,West
2025-05-30,Smartphone,Elektronik,800.0,5,Süd
2025-02-04,Maus,Elektronik,25.0,14,Ost
2025-11-10,Tastatur,Elektronik,45.0,13,Nord
2025-05-16,Tisch,Möbel,300.0,11,Süd
2025-05-18,Tastatur,Elektronik,45.0,20,Nord
2025-04-09,Regal,Möbel,200.0,8,Nord
2025-04-03,Stuhl,Möbel,150.0,13,West
2025-06-26,Regal,Möbel,200.0,3,Süd
2025-09-11,Monitor,Elektronik,250.0,17,Ost
2025-10-10,Maus,Elektronik,25.0,8,Süd
2025-04-19,Jeans,Bekleidung,60.0,18,West
2025-05-10,Laptop,Elektronik,1200.0,13,Ost
2025-06-08,Hammer,Werkzeug,20.0,19,Nord
2025-09-20,Kaffee,Lebensmittel,8.0,17,Süd
2025-08-13,Brot,Lebensmittel,3.0,10,Ost
2025-04-05,Kopfhörer,Elektronik,120.0,17,Ost
2025-12-17,Laptop,Elektronik,1200.0,18,Ost
2025-02-09,Brot,Lebensmittel,3.0,13,West
2025-08-18,Hammer,Werkzeug,20.0,17,Süd
2025-06-09,Lampe,Möbel,80.0,16,West
2025-10-07,Maus,Elektronik,25.0,11,Nord
2025-10-24,Tisch,Möbel,300.0,16,West
2025-03-06,Bohrmaschine,Werkzeug,150.0,3,Nord
2025-08-27,Apfel,Lebensmittel,2.0,14,Süd
2025-10-01,Schrank,Möbel,500.0,15,Nord
2025-05-23,Stuhl,Möbel,150.0,20,Ost
2025-01-16,Sneaker,Bekleidung,100.0,13,Süd
2025-09-08,Monitor,Elektronik,250.0,13,Nord
2025-09-08,Monitor,Elektronik,250.0,14,Nord
2025-06-03,Tisch,Möbel,300.0,17,Süd
2025-06-10,Milch,Lebensmittel,1.5,8,West
2025-08-13,Regal,Möbel,200.0,16,Nord
2025-12-30,Smartwatch,Elektronik,200.0,16,Ost
2025-03-26,Bohrmaschine,Werkzeug,150.0,14,Nord
2025-04-10,Kopfhörer,Elektronik,120.0,18,Süd
2025-11-24,Jacke,Bekleidung,120.0,7,Nord
2025-02-24,Lampe,Möbel,80.0,5,Nord
2025-09-25,Smartphone,Elektronik,800.0,19,Süd
2025-03-05,Schrank,Möbel,500.0,12,Süd
2025-04-05,Kopfhörer,Elektronik,120.0,6,Ost
2025-10-06,Kopfhörer,Elektronik,120.0,3,Ost
2025-12-10,Regal,Möbel,200.0,5,Süd
2025-04-04,Schraubenzieher,Werkzeug,15.0,8,Süd
2025-12-30,Jeans,Bekleidung,60.0,3,Ost
2025-10-18,Kaffee,Lebensmittel,8.0,3,Ost
2025-08-17,Schraubenzieher,Werkzeug,15.0,14,West
2025-03-19,Schraubenzieher,Werkzeug,15.0,19,West
2025-10-06,Schraubenzieher,Werkzeug,15.0,9,West
2025-07-19,Maus,Elektronik,25.0,9,Ost
2025-05-22,Tastatur,Elektronik,45.0,15,West
2025-02-18,Schraubenzieher,Werkzeug,15.0,5,Nord
2025-05-16,Bohrmaschine,Werkzeug,150.0,16,Süd
2025-04-13,Stuhl,Möbel,150.0,18,Ost
2025-09-21,Jacke,Bekleidung,120.0,7,Ost
2025-09-11,Tastatur,Elektronik,45.0,2,Ost
2025-02-10,Kopfhörer,Elektronik,120.0,6,Ost
2025-10-26,Tastatur,Elektronik,45.0,9,Ost
2025-03-29,Jeans,Bekleidung,60.0,8,Nord
2025-02-04,Tisch,Möbel,300.0,12,Nord
2025-11-21,Milch,Lebensmittel,1.5,16,Süd
2025-10-12,Jeans,Bekleidung,60.0,20,Ost
2025-05-07,Maus,Elektronik,25.0,11,Ost
2025-05-28,Brot,Lebensmittel,3.0,19,Nord
2025-02-08,Lampe,Möbel,80.0,16,Süd
2025-04-21,Lampe,Möbel,80.0,17,West
2025-12-13,Apfel,Lebensmittel,2.0,6,West
2025-06-27,Brot,Lebensmittel,3.0,11,West
2025-12-19,Stuhl,Möbel,150.0,8,Ost
2025-08-30,Hammer,Werkzeug,20.0,5,Nord
2025-10-20,Maus,Elektronik,25.0,6,Nord
2025-01-06,Regal,Möbel,200.0,4,Ost
2025-12-05,Smartwatch,Elektronik,200.0,15,Nord
2025-03-15,Tastatur,Elektronik,45.0,9,Nord
